session,label,n_samples,steer_sd,steer_range,steer_vel_sd,steer_vel_mean_abs,reversal_rate,hold_fraction,lf_hf_ratio,steering_entropy,max_abs_steer_rate,steer_rate_kurtosis,large_correction_rate
drive_alert_20260615_132532,alert,300,0.038038785310376154,0.22166000000000002,0.006912677975331986,0.0033654099766325905,52.0,0.7926421404682275,1.0089141498814282,0.48063196896729166,0.057190000000000005,19.67139970713411,0.0
drive_alert_20260615_132532,alert,300,0.03639808123031884,0.20558,0.0074653760859515195,0.004015457976511891,56.0,0.7491638795986622,0.6159847647167903,0.5581205421506565,0.03522,5.603254995912998,0.0
drive_alert_20260615_132532,alert,300,0.03590715422386835,0.19325,0.007392019458740139,0.004081620988423469,68.0,0.7391304347826086,0.01640240153780785,0.5671408217358824,0.03522,5.665642532527023,0.0
drive_alert_20260615_132532,alert,300,0.03489271722884622,0.19325,0.007526478972228589,0.004050960418170383,68.0,0.7558528428093646,0.1907079064441706,0.5758655134776355,0.03522,5.6371039047985025,0.0
drive_alert_20260615_132532,alert,300,0.04069613274516661,0.21355999999999997,0.008240437495030624,0.004635953387612891,72.0,0.7157190635451505,0.7100276247328331,0.5968947916471924,0.03522,4.203502077759018,0.0
drive_alert_20260615_132532,alert,300,0.038700671289957404,0.18577,0.006544842908948306,0.003426609272068835,56.0,0.7725752508361204,0.8832736185106667,0.5276677627743731,0.031179999999999992,5.903997323638068,0.0
drive_alert_20260615_132532,alert,300,0.05618364158771365,0.35341999999999996,0.009378903113396264,0.004853426363414444,52.0,0.7290969899665551,0.306334122404396,0.582188718593043,0.05456,7.511798998677939,0.0
drive_alert_20260615_132532,alert,300,0.056631760851074846,0.35341999999999996,0.009651828311119,0.005071249099794903,60.0,0.705685618729097,0.2434498494970595,0.5803626637374302,0.05456,7.1635857117203745,0.0
drive_alert_20260615_132532,alert,300,0.05288110964716564,0.32982999999999996,0.009554455806135157,0.004958160791322059,60.0,0.7357859531772575,0.03604341965346738,0.5770048554539844,0.05456,7.483159635640028,0.0
drive_alert_20260615_132532,alert,300,0.053632240052032966,0.32982999999999996,0.009741384407392676,0.005126842444626196,60.0,0.7324414715719063,0.06263812090322178,0.5730524832980854,0.05456,6.908296176311563,0.0
drive_alert_20260615_132532,alert,300,0.03812441362281305,0.18525,0.007758021874262017,0.004313635240176025,72.0,0.7591973244147158,0.03421867504033148,0.5675263107284189,0.035969999999999995,4.784774284868517,0.0
drive_alert_20260615_132532,alert,300,0.03833314427988164,0.18525,0.007316161047733333,0.004218397870790165,64.0,0.7558528428093646,0.2910537422751025,0.5694686997475048,0.02854,4.193006048288121,0.0
drive_alert_20260615_132532,alert,300,0.03522938630144821,0.16376000000000002,0.005985390561473506,0.0034850358401752593,56.0,0.802675585284281,0.40206306361706834,0.5103543507792269,0.02854,6.027240984051515,0.0
drive_alert_20260615_132532,alert,300,0.035134129258457505,0.1571,0.005523034500410827,0.003145115983228502,56.0,0.8193979933110368,1.4005337921726437,0.4864893343235458,0.02805,6.369415812207404,0.0
drive_alert_20260615_132532,alert,300,0.0826394667133487,0.5070399999999999,0.011788668151318673,0.0051691187285507175,52.0,0.7658862876254181,1.1277576472477249,0.5675763872281759,0.09684000000000001,26.65011143212632,0.0
drive_alert_20260615_132532,alert,300,0.08711292648160777,0.5070399999999999,0.012784394956477,0.0058066964665790975,48.0,0.7558528428093646,0.3278288144491862,0.5852624046239346,0.09684000000000001,19.724555752351847,0.0
drive_alert_20260615_132532,alert,300,0.08697296045857522,0.5070399999999999,0.013090577026721945,0.0061694554447111844,60.0,0.7123745819397993,0.20015032358487883,0.6343261105117256,0.09684000000000001,17.60733444984916,0.0
drive_alert_20260615_132532,alert,300,0.0919161992971859,0.5070399999999999,0.013687739128246333,0.00725526706632675,64.0,0.6387959866220736,0.26334750595728984,0.7066182494142952,0.09684000000000001,14.599249196442734,0.0
drive_alert_20260615_132532,alert,300,0.10407422402054645,0.50274,0.01202168635403633,0.007023546910067861,72.0,0.6321070234113713,0.618383868854661,0.6797066179159627,0.05613000000000001,4.36932828975871,0.0
drive_alert_20260615_132532,alert,300,0.11405222096103852,0.5658099999999999,0.011701777402233713,0.007068604263681711,68.0,0.6287625418060201,0.33208795136795033,0.6793801560469316,0.05613000000000001,4.086756959271678,0.0
drive_alert_20260615_132532,alert,300,0.1391951747891188,0.5658099999999999,0.01317967322822674,0.00796708993419139,56.0,0.6321070234113713,1.2419256036612265,0.6382226829042185,0.06306,4.774056713251583,0.0
drive_alert_20260615_132532,alert,300,0.14212663121132116,0.5658099999999999,0.01346253889425273,0.007764565529174775,52.0,0.6722408026755853,9.992464427595097,0.5874760635339407,0.06306,5.512938735088129,0.0
drive_alert_20260615_132532,alert,300,0.1271290601099878,0.63056,0.017398280695107106,0.007001272124993139,56.0,0.7792642140468228,3.7718275579801874,0.46726657395800325,0.16071999999999997,40.08655271236833,8.0
drive_alert_20260615_132532,alert,300,0.18469588622796182,0.8531299999999999,0.021934845104440995,0.010213985850626878,60.0,0.6655518394648829,3.119504223883886,0.5875197199149209,0.16071999999999997,18.976561050850382,12.0
drive_alert_20260615_132532,alert,300,0.16522583217390674,0.8531299999999999,0.020837751802386225,0.008799100071621012,56.0,0.6755852842809364,0.307735528533012,0.5877730218920945,0.16071999999999997,23.911435813467808,12.0
